nuts,code,regions,year,year_num,pop,gdp,gdp_pc,occ_agr,occ_ind,occ_ser,occ_tot,gov_type,years_since,federal
R18,D1,baden-wuerttemberg,1977,1977,91193000,120825904386.1447,13249.47138334573,0.027195069797023894,0.21767021591569527,0.1981511738839604,0.44301645959667957,federal,0,1
R18,D1,baden-wuerttemberg,1978,1978,91205000,122062692307.6923,13383.33340361738,0.026423989912833727,0.21917658023134698,0.2030590428156351,0.4486596129598158,federal,1,1
R18,D1,baden-wuerttemberg,1979,1979,91378000,126059304347.82611,13795.366975401752,0.025279607783055002,0.22270130666024646,0.20683315458863183,0.4548140690319333,federal,2,1
R18,D1,baden-wuerttemberg,1980,1980,91900000,126128177641.6539,13724.502463727304,0.023101196953210012,0.22948857453754082,0.2194341675734494,0.4720239390642002,federal,3,1
R18,D1,baden-wuerttemberg,1981,1981,92590000,124214051841.74626,13415.493232719113,0.02419267739496706,0.2237822659034453,0.20855383950750622,0.4565287828059186,federal,4,1
R18,D1,baden-wuerttemberg,1982,1982,92880000,120368187422.93468,12959.537836233278,0.02400947459086994,0.21522394487510765,0.21027131782945738,0.449504737295435,federal,5,1
R18,D1,baden-wuerttemberg,1983,1983,92710000,119469090909.09091,12886.321961934087,0.023729910473519578,0.2095782547729479,0.21098047675547407,0.4442886420019415,federal,6,1
R18,D1,baden-wuerttemberg,1984,1984,92430000,120514740190.88016,13038.487524708446,0.023693605972086983,0.21042951422698258,0.2141079736016445,0.4482310938007141,federal,7,1
R18,D1,baden-wuerttemberg,1985,1985,92410000,122796900000,13288.26966778487,0.018937344443242073,0.21642679363705228,0.23276701655664972,0.46813115463694405,federal,8,1
R18,D1,baden-wuerttemberg,1986,1986,92710000,126672850241.5459,13663.342707533804,0.018768201919965484,0.21874662927408048,0.2369755150469205,0.4744903462409665,federal,9,1
R18,D1,baden-wuerttemberg,1987,1987,93270000,128252853133.76985,13750.70795901896,0.017765626675243916,0.217915728530074,0.24334727136271042,0.4790286265680283,federal,10,1
R18,D1,baden-wuerttemberg,1988,1988,93300000,134572719060.52396,14423.656919670308,0.017491961414790997,0.21732047159699894,0.24852090032154342,0.48333333333333334,federal,11,1
R18,D1,baden-wuerttemberg,1989,1989,94330000,140462940670.67926,14890.590551328238,0.01614544683557723,0.21760839605639776,0.2509487967772713,0.48470263966924626,federal,12,1
R18,D1,baden-wuerttemberg,1990,1990,96190000,147554109031.7331,15339.85955210865,0.015562948331427384,0.22001247530928372,0.25489136084832104,0.49046678448903214,federal,13,1
R18,D1,baden-wuerttemberg,1991,1991,98220000,153320155038.7597,15609.871211439595,0.01432498472816127,0.21957849725106904,0.25768682549378946,0.49159030747301974,federal,14,1
R18,D1,baden-wuerttemberg,1992,1992,100020000,154213308550.18588,15418.247205577472,0.013637272545490901,0.2133473305338932,0.26045790841831634,0.48744251149770046,federal,15,1
R18,D1,baden-wuerttemberg,1993,1993,101490000,148542631200.57513,14636.183978773783,0.012986501133116564,0.19793083062370678,0.25846881466154303,0.46938614641836635,federal,16,1
R19,D2,bayern,1977,1977,108042000,127411493133.8389,11792.77439642351,0.04970289331926473,0.1842801873345551,0.19733066770330057,0.4313137483571204,federal,0,1
R19,D2,bayern,1978,1978,108193000,131051538461.53847,12112.75576622688,0.04787740426829832,0.18716552826892682,0.20176906084497148,0.4368119933821966,federal,1,1
R19,D2,bayern,1979,1979,108314000,136479304347.82608,12600.338307866581,0.046162084310430784,0.19018778735897482,0.20606754436176303,0.44241741603116863,federal,2,1
R19,D2,bayern,1980,1980,108710000,135413935681.47014,12456.43783290131,0.04376782264741054,0.20051513200257565,0.2160794775089688,0.460362432158955,federal,3,1
R19,D2,bayern,1981,1981,109280000,133745839017.73532,12238.821286395985,0.04227672035139092,0.1882320644216691,0.2094619326500732,0.43997071742313326,federal,4,1
R19,D2,bayern,1982,1982,109590000,131669913686.80643,12014.774494644258,0.04243087872981111,0.18158591112327768,0.20978191440824892,0.4337987042613377,federal,5,1
R19,D2,bayern,1983,1983,109670000,131356250000,11977.409501230966,0.04249110969271451,0.177350232515729,0.21090544360353788,0.4307467858119814,federal,6,1
R19,D2,bayern,1984,1984,109700000,133793001060.44539,12196.262630851903,0.04238833181403829,0.17748404740200546,0.21440291704649042,0.4342752962625342,federal,7,1
R19,D2,bayern,1985,1985,109580000,134989600000,12318.817302427451,0.036685526555940866,0.19191458295309363,0.2303340025552108,0.4589341120642453,federal,8,1
R19,D2,bayern,1986,1986,109740000,138745314009.6618,12643.094041339697,0.036358665937670856,0.19482412976125388,0.23564789502460362,0.46683069072352834,federal,9,1
R19,D2,bayern,1987,1987,110270000,140884284377.92328,12776.30220167981,0.03461503582116623,0.19493969347964088,0.24074544300353679,0.4703001723043439,federal,10,1
R19,D2,bayern,1988,1988,109500000,147046973803.07135,13428.947379275924,0.032940639269406394,0.19625570776255707,0.24714155251141554,0.476337899543379,federal,11,1
R19,D2,bayern,1989,1989,110490000,152422957867.58383,13795.181271389614,0.030672459046067517,0.19735722689836185,0.25100914109874195,0.4790388270431713,federal,12,1
R19,D2,bayern,1990,1990,112210000,159913262815.29697,14251.248802717848,0.02980126548435968,0.20478566972640586,0.25673291150521343,0.49131984671597895,federal,13,1
R19,D2,bayern,1991,1991,114490000,170455581395.34885,14888.250624102442,0.028159664599528345,0.2037295833697266,0.260939820071622,0.49282906804087695,federal,14,1
R19,D2,bayern,1992,1992,115960000,175354572490.7063,15121.987969188196,0.0265177647464643,0.19907726802345638,0.26524663677130045,0.4908416695412211,federal,15,1
R19,D2,bayern,1993,1993,117710000,168906542056.07477,14349.379156917405,0.024832214765100672,0.18679806303627558,0.2632146801461218,0.4748449579474981,federal,16,1
R16,D6,hessen,1977,1977,55384000,75134784279.56549,13566.153452182127,0.023833598151090568,0.1744186046511628,0.22569695218835764,0.42394915499061103,federal,0,1
R16,D6,hessen,1978,1978,55406000,76963653846.15384,13890.851865529698,0.022380247626610835,0.1739883767101036,0.2308414251164134,0.4272100494531278,federal,1,1
R16,D6,hessen,1979,1979,55535000,79890260869.56523,14385.569617280134,0.02106779508418115,0.17610515890879624,0.2357072116683173,0.43288016566129467,federal,2,1
R16,D6,hessen,1980,1980,55760000,78894180704.44104,14148.884631355997,0.016840028694404593,0.17786944045911046,0.25041248206599714,0.4451219512195122,federal,3,1
R16,D6,hessen,1981,1981,56010000,76025920873.12415,13573.63343565866,0.020532047848598464,0.1717550437421889,0.23656489912515621,0.4288519907159436,federal,4,1
R16,D6,hessen,1982,1982,56120000,74632922318.12578,13298.81010657979,0.019779044903777618,0.16375623663578048,0.23663578047042053,0.4201710620099786,federal,5,1
R16,D6,hessen,1983,1983,56000000,74704431818.18181,13340.07711038961,0.019464285714285715,0.15946428571428573,0.23625,0.41517857142857145,federal,6,1
R16,D6,hessen,1984,1984,55650000,76022905620.36057,13660.899482544573,0.01904761904761905,0.15956873315363881,0.24043126684636118,0.41904761904761906,federal,7,1
R16,D6,hessen,1985,1985,55350000,77066100000,13923.414634146342,0.012827461607949413,0.17217705510388437,0.2563685636856369,0.44137308039747064,federal,8,1
